Entity,Code,Year,school enrollment
Afghanistan,AFG,2010,83.2
Albania,ALB,2010,98.5
Algeria,DZA,2010,100
Argentina,ARG,2010,100
Australia,AUS,2010,96
Austria,AUT,2010,97.5
Bangladesh,BGD,2010,91
Barbados,BRB,2010,96
Belgium,BEL,2010,100
Belize,BLZ,2010,100
Benin,BEN,2010,100
Bolivia,BOL,2010,92.3
Brazil,BRA,2010,100
Bulgaria,BGR,2010,100
Cambodia,KHM,2010,100
Cameroon,CMR,2010,92.1
Canada,CAN,2010,99.4
Chile,CHL,2010,98
China,CHN,2010,100
Colombia,COL,2010,100
Costa Rica,CRI,2010,100
Cote d'Ivoire,CIV,2010,65
Cuba,CUB,2010,100
Cyprus,CYP,2010,100
Czech Republic,CZE,2010,100
Democratic Republic of Congo,COD,2010,88.5
Denmark,DNK,2010,100
Dominican Republic,DOM,2010,99.2
Ecuador,ECU,2010,100
Egypt,EGY,2010,100
El Salvador,SLV,2010,100
Fiji,FJI,2010,100
Finland,FIN,2010,99
France,FRA,2010,100
Gambia,GMB,2010,82.5
Germany,DEU,2010,100
Ghana,GHA,2010,100
Greece,GRC,2010,100
Guatemala,GTM,2010,100
Guyana,GUY,2010,82.6
Haiti,HTI,2010,99.1
Honduras,HND,2010,100
Hong Kong,HKG,2010,97.2
Hungary,HUN,2010,100
Iceland,ISL,2010,99
India,IND,2010,100
Indonesia,IDN,2010,100
Iran,IRN,2010,100
Iraq,IRQ,2010,97.1
Ireland,IRL,2010,100
Italy,ITA,2010,100
Jamaica,JAM,2010,94.6
Japan,JPN,2010,100
Jordan,JOR,2010,98.4
Kenya,KEN,2010,100
Kuwait,KWT,2010,100
Lesotho,LSO,2010,88
Liberia,LBR,2010,94.5
Libya,LBY,2010,98.9
Luxembourg,LUX,2010,93.3
Malawi,MWI,2010,100
Malaysia,MYS,2010,100
Mali,MLI,2010,78.4
Malta,MLT,2010,94.2
Mauritius,MUS,2010,100
Mexico,MEX,2010,100
Morocco,MAR,2010,100
Mozambique,MOZ,2010,100
Myanmar,MMR,2010,100
Nepal,NPL,2010,100
Netherlands,NLD,2010,100
New Zealand,NZL,2010,98
Nicaragua,NIC,2010,100
Niger,NER,2010,62.1
Norway,NOR,2010,99
Pakistan,PAK,2010,90.9
Panama,PAN,2010,96.4
Paraguay,PRY,2010,92.4
Peru,PER,2010,100
Philippines,PHL,2010,100
Poland,POL,2010,97.2
Portugal,PRT,2010,100
Reunion,REU,2010,95.4
Romania,ROU,2010,95.3
Russia,RUS,2010,98.4
Senegal,SEN,2010,78.7
Serbia,SRB,2010,95.5
Sierra Leone,SLE,2010,100
South Africa,ZAF,2010,98.5
South Korea,KOR,2010,100
Spain,ESP,2010,100
Sri Lanka,LKA,2010,98.3
Sudan,SDN,2010,60.4
Swaziland,SWZ,2010,98.5
Sweden,SWE,2010,100
Switzerland,CHE,2010,100
Syria,SYR,2010,100
Taiwan,TWN,2010,99
Thailand,THA,2010,88.1
Togo,TGO,2010,100
Trinidad and Tobago,TTO,2010,99.3
Tunisia,TUN,2010,100
Turkey,TUR,2010,100
Uganda,UGA,2010,100
United Kingdom,GBR,2010,100
United States,USA,2010,99
Uruguay,URY,2010,100
Venezuela,VEN,2010,99.2
Yemen,YEM,2010,86
Zambia,ZMB,2010,100
Zimbabwe,ZWE,2010,98.3
